Copernicus Boundary Layer with 250m buffer;eea_copernicus-boundary-buffer_s;The Copernicus boundary layers cover the EEA38 member states and United Kingdom including the French DOM (French Guiana GF, Guadeloupe GP, Martinique MQ, Mayotte YT and Reunion RE).#The Copernicus Boundary Layer provides both land masks for the countries as well as national boundaries. The datasets are based on a rasterisation of the Boundary Layer vector product. The raster products are available with 250 m buffer in these resolutions: raster 10m, raster 20m and raster 100m.##The production of the Border Products was coordinated by the European Environment Agency in the frame of the EU Copernicus programme. The use of the raster 10m, raster 20m and the vector data has to be agreed with EEA.;8a1b3765-a277-4505-a316-28bbe53a00b5,1ba7fc7e-490f-45b2-875c-5ca9742f2c0d,c1d5e1bc-cab7-4ef1-b256-40752c65839b,f33234e0-e22a-4d31-8807-5a188c4ccbd4,5aa86a38-38dd-4898-af67-07cdd851a27d
Coastal Zones;copernicus_coastal-zones_s;The Copernicus Coastal Zones (CZ) monitors landscape dynamics in European coastal territory to an inland depth of 10 km with a total area of approximately 730,000 km², with all the relevant areas (estuaries, coastal lowlands, nature reserves). The production of the coastal zone layers was coordinated by the European Environment Agency (EEA) in the frame of the EU Copernicus programme, as part of the Copernicus Land Monitoring Service (CLMS) Local Component.##The CZ product covers a buffer zone of coastline derived from EU-Hydro v1.1. Land Cover/Land Use (LC/LU) layer is extracted from Very High Resolution (VHR) satellite data and other available data. The class definitions follow the pre-defined nomenclature on the basis of Mapping and Assessment of Ecosystems and their Services (MAES) typology of ecosystems (Level 1 to Level 4) and CORINE Land Cover adapted to the specific characteristics of coastal zones. The classification provides 71 distinct thematic classes with a Minimum Mapping Unit (MMU) of 0.5 ha and a Minimum Mapping Width (MMW) of 10 m. The product is available for the 2012 and 2018 reference year including change mapping.##The CZ datasets are distributed in vector format.;fe8d5d51-36ab-46d4-be61-dcfad7c308f1,205e2db2-4e35-4b1b-bf84-271c4a82248c
Coastal Zones Changes;copernicus_coastal-zones-changes_s;The Coastal Zones Change (CZC) is providing the Land Cover / Land Use (LC/ LU) change for areas along the coastline of the EEA38 countries and the United Kingdom, between the reference years. The Copernicus Coastal Zones (CZ) monitors landscape dynamics in European coastal territory to an inland depth of 10 km with a total area of approximately 730,000 km², with all the relevant areas (estuaries, coastal lowlands, nature reserves). The production of the coastal zone layers was coordinated by the European Environment Agency (EEA) in the frame of the EU Copernicus programme, as part of the Copernicus Land Monitoring Service (CLMS) Local Component.;c88e743d-e838-49e1-8c80-54f26bcf4ab8
Corine Land Cover;copernicus_clc_s;The Copernicus Corine Land Cover (CLC) datasets is produced within the frame of the Copernicus Land Monitoring Service referring to land cover / land use. The CLC datasets covers 1990, 2000 and hereinafter an update every six years. For each year raster and vector data is accessible.##CLC service has a long-time heritage (formerly known as CORINE Land Cover Programme), coordinated by the European Environment Agency (EEA). It provides consistent and thematically detailed information on land cover and land cover changes across Europe. CLC datasets are based on the classification of satellite images produced by the national teams of the participating countries - the EEA members and cooperating countries (EEA38 and United Kingdom). National CLC inventories are then further integrated into a seamless land cover map of Europe.##The resulting European database relies on standard methodology and nomenclature with following base parameters: 44 classes in the hierarchical 3-level CLC nomenclature; minimum mapping unit (MMU) for status layers is 25 hectares; minimum width of linear elements is 100 metres.##Additional information about CLC product description including mapping guides can be found at https://land.copernicus.eu/user-corner/technical-library/. CLC class descriptions can be found at https://land.copernicus.eu/user-corner/technical-library/corine-land-cover-nomenclature-guidelines/html/.;c89324ef-7729-4477-9f1b-623f5f88eaa1,5c1f2e03-fcba-47b1-afeb-bc05a47bada0,ddacbd5e-068f-4e52-a596-d606e8de7f40,8b85b479-6afb-42c6-817c-11d1a5260b83,08560441-2fd5-4eb9-bf4c-9ef16725726a,93eede6e-c196-40e3-9253-7f2237b49de1,a84ae124-c5c5-4577-8e10-511bfe55cc0d,916c0ee7-9711-4996-9876-95ea45ce1d27,960998c1-1870-4e82-8051-6485205ebbac,71c95a07-e296-44fc-b22b-415f42acfdf0
Corine Land Cover Changes;copernicus_clc-changes_s;The Copernicus Corine Land Cover Change (CHA) datasets is produced within the frame of the Copernicus Land Monitoring Service referring to land cover / land use. The CHA datasets covers 1990-2000, 2000-2006 and hereinafter an update every six years. For each year raster and vector data is accessible.##CLC service has a long-time heritage (formerly known as CORINE Land Cover Programme), coordinated by the European Environment Agency (EEA). It provides consistent and thematically detailed information on land cover and land cover changes across Europe.#CLC datasets are based on the classification of satellite images produced by the national teams of the participating countries - the EEA members and cooperating countries (EEA38 and United Kingdom). National CLC inventories are then further integrated into a seamless land cover map of Europe.##The resulting European database relies on standard methodology and nomenclature with following base parameters: 44 classes in the hierarchical 3-level CLC nomenclature; minimum mapping unit (MMU) for status layers is 25 hectares; minimum width of linear elements is 100 metres.##Additional information about CLC product description including mapping guides can be found at https://land.copernicus.eu/user-corner/technical-library/. CLC class descriptions can be found at https://land.copernicus.eu/user-corner/technical-library/corine-land-cover-nomenclature-guidelines/html/.;c62bb056-5ac3-4512-b642-7f484175d951,17ab2088-6907-470f-90b6-8c1364865803,7c96ac5d-399e-4151-a780-1f974fd75123,3899a4a7-dd0b-4729-b24f-278844f1a686,32883574-90dd-4021-843f-f9ea6b22bfce,fe3425ad-a71e-454c-97a9-586613af8191,5654b422-af84-4115-ac3c-5d7dea540ebb,f30f1000-7cf8-43bb-872c-5eb093911b24
Riparian Zones Delineation;copernicus_riparian-zones-delineation_s;The Copernicus Delineation of Riparian Zones datasets represent transitional areas occurring between land and freshwater ecosystems, characterised by distinctive hydrology, soil and biotic conditions and strongly influenced by the stream water. They provide a wide range of riparian functions (e.g. chemical filtration, flood control, bank stabilization, aquatic life and riparian wildlife support, etc.) and ecosystem services.##The Riparian Zones products support the objectives of several European legal acts and policy initiatives, such as the EU Biodiversity Strategy to 2020, the Habitats and Birds Directives and the Water Framework Directive.##The Ripariean Zones dataset is accessible in raster format with a 50m-resolution and a in vector format with a 10m-resolution.##The production of the Riparian Zones products was coordinated by the European Environment Agency in the frame of the EU Copernicus programme.;e61d0641-ef07-4224-a6ed-6d2d42a4ef23,f0f9610c-8446-45ed-88bd-eaa137bef5ab
High Resolution Layer: Dominant Leaf Type;copernicus_hrl-dominant-leaf-type_s;The Copernicus Dominant Leaf Type (DLT) raster dataset provides a basic land cover classification with 3 thematic classes at 10m/20m spatial resolution:#* non-tree covered areas#* broadleaved areas#* coniferous areas##The Copernicus Dominant Leaf Change datasets covers the change between the reference years and consists of 7 thematic classes at 20m spatial resolution:#* unchanged areas with no tree cover#* new broadleaved cover#* new coniferous cover#* loss of broadleaved cover#* loss of coniferous cover#* unchanged areas with tree cover#* potential change among dominant leaf types##The datasets covers the full of EEA38 member countries and the United Kingdom. The production of the High Resolution Forest layers was coordinated by the European Environment Agency (EEA) in the frame of the EU Copernicus programme.;5afeffa4-ccda-4ef9-a7ef-637cb7310f58,47e32c1d-f025-4622-934a-f1b63572609f,7b28d3c1-b363-4579-9141-bdd09d073fd8,11e54513-eaee-407b-8f0a-4f321cbf9974
Copernicus EEA39 Border Expert;eea_copernicus-border-expert_s;The Copernicus Border Expert product covers EEA38 member countries and the United Kingdom (former EEA39) in vector - and raster formats, including the French DOM (Saint-Barthelemy BL, Saint Martin MF, French Guiana GF, Guadeloupe GP, Martinique MQ, Mayotte YT and Reunion RE) as well as the Falkland Islands (FK). For the provision of land monitoring services within the Copernicus programme, a consistent, stable, sufficiently detailed boundary layer is required at EEA, which provides a “land mask” for the area that needs to be monitored.##The boundary layer is further derived from the EU-Hydro Coastline Version 3 from EEA, the EEA coastline for analysis Version 2, the EBM GISCO Hybrid Layer from EEA, the “Water and Wetness High Resolution Layer 2015” from EEA and the JRC-Global Surface Water Occurrence layer. The production of this EEA38 and United Kingdon Border Expert Product was coordinated by the European Environment Agency in the frame of the EU Copernicus programme.##IMPORTANT NOTE: These dataset are only available for internal use within EEA in the context of the EU Copernicus programme. Copyright restrictions apply, as in this product ungeneralised data from EuroGeographics EuroBoundary Map Version 12 is included. Use of this dataset has therefore to be agreed with EEA and ultimately with EuroGeographics.;02838c78-c2ee-4b2e-95d7-2fa18d2ab1c7,3f4b9b5a-8ec4-474e-aedd-1b4a3af9c621,37d1e0b9-8b0e-49f2-9671-fb9b43b0ae58,bda52886-fc81-44e0-8616-2fcdf957af80
European Digital Elevation Model (EU-DEM);copernicus_eu-dem_s;The Copernicus European Digital Elevation Model (EU-DEM) is a digital surface model (DSM) of the ground representing the first surface as illuminated by the sensors. It is a hybrid product based on Shuttle Radar Topography Mapping (SRTM) and ASTER Global DEM data fused by a weighted averaging approach and generated as a contiguous dataset divided into 1 degree by 1 degree tiles, corresponding to the SRTM naming convention. The Copernicus EU-DEM products covers EEA38 member countries and the United Kingdom.##The implementation of EU-DEM v1.0 was coordinated by the European Commission in 2009-2011 in the framework of the Reference Data Access (RDA) Action of the EU GMES/Copernicus programme. The EU-DEM v1.1 upgrade was coordinated by the European Environment Agency (EEA) in the frame of the EU Copernicus programme.;19cff95e-61ac-45ed-8ee3-c43220d709cf,3473589f-0854-4601-919e-2e7dd172ff50
EU-Hydro;copernicus_eu-hydro_s;The Copernicus EU-Hydro products covers EEA38 member countries and the United Kingdom providing photo-interpreted river network, consistent of surface interpretation of water bodies (lakes and wide rivers), and a drainage model (also called Drainage Network), derived from EU-DEM, with catchments and drainage lines and nodes.##The coastline is also included for each basin in the EU-Hydro River Network Database.##The EU-Hydro dataset is distributed in separate files (river network and drainage network) for each of the 35 major basins of the EEA38 member countries and UK area, in GDB and GPKG formats.##The production of EU-Hydro and the derived layers was coordinated by the European Environment Agency in the frame of the EU Copernicus programme.;9d6c471c-d585-4997-9b73-345c55feb0c2,393359a7-7ebd-4a52-80ac-1a18d5f3db9c
