Agriculture;Agriculture and food;term1
Air pollution;Air pollution;term2
Biodiversity - Ecosystem;Biodiversity;term4
Climate change adaptation;Climate adaptation;term10
Climate change mitigation;Climate mitigation;term11
Energy;Energy;term14
Industry;Industry;term22
Land use;Land use;term23
Environment and health;Environmental health impacts;term16
Sustainability transitions;Sustainability solutions;term39
Transport;Transport and mobility;term42
Resource efficiency and waste;Waste and recycling;term44
Water and marine environment;Water;term45
Policy instruments;;
