Agriculture and food system;https://www.eea.europa.eu/en/topics/in-depth/agriculture-and-food;Agriculture and food
Air pollution;https://www.eea.europa.eu/en/topics/in-depth/air-pollution;Air pollution
Bathing water quality;https://www.eea.europa.eu/en/topics/in-depth/bathing-water;Bathing water quality
Biodiversity: state of habitats and species;https://www.eea.europa.eu/en/topics/in-depth/biodiversity;Biodiversity
Buildings and construction;https://www.eea.europa.eu/en/topics/in-depth/buildings-and-construction;Buildings and construction
Chemicals;https://www.eea.europa.eu/en/topics/in-depth/chemicals;Chemicals
Circular economy;https://www.eea.europa.eu/en/topics/in-depth/circular-economy;Circular economy
Climate change impacts, risks and adaptation;https://www.eea.europa.eu/en/topics/in-depth/climate-change-impacts-risks-and-adaptation;Climate adaptation
Climate change mitigation: reducing emissions;https://www.eea.europa.eu/en/topics/in-depth/climate-change-mitigation-reducing-emissions;Climate mitigation
Electric vehicles;https://www.eea.europa.eu/en/topics/in-depth/electric-vehicles;Electric vehicles
Energy;https://www.eea.europa.eu/en/topics/in-depth/energy;Energy
Energy efficiency;https://www.eea.europa.eu/en/topics/in-depth/energy-efficiency;Energy efficiency
Environmental health impacts;https://www.eea.europa.eu/en/topics/in-depth/environmental-health-impacts;Environmental health impacts
Environmental inequalities;https://www.eea.europa.eu/en/topics/in-depth/environmental-inequalities;Environmental inequalities
Extreme weather: floods, droughts, heatwaves;https://www.eea.europa.eu/en/topics/in-depth/extreme-weather-floods-droughts-and-heatwaves;Extreme weather
Forests and forestry;https://www.eea.europa.eu/en/topics/in-depth/forests-and-forestry;Forests and forestry
Industry;https://www.eea.europa.eu/en/topics/in-depth/industry;Industry
Land use;https://www.eea.europa.eu/en/topics/in-depth/land-use;Land use
Nature protection and restoration;https://www.eea.europa.eu/en/topics/in-depth/nature-protection-and-restoration;Nature protection and restoration
Noise;https://www.eea.europa.eu/en/topics/in-depth/noise;Noise
Plastics;https://www.eea.europa.eu/en/topics/in-depth/plastics;Plastics
Pollution;https://www.eea.europa.eu/en/topics/in-depth/pollution;Pollution
Production and consumption;https://www.eea.europa.eu/en/topics/in-depth/production-and-consumption;Production and consumption
Renewable energy;https://www.eea.europa.eu/en/topics/in-depth/renewable-energy;Renewable energy
Resource use and materials;https://www.eea.europa.eu/en/topics/in-depth/resource-use-and-materials;Resource use and materials
Road transport;https://www.eea.europa.eu/en/topics/in-depth/road-transport;Road transport
Seas and coasts;https://www.eea.europa.eu/en/topics/in-depth/seas-and-coasts;Seas and coasts
Soil;https://www.eea.europa.eu/en/topics/in-depth/soil;Soil
Sustainability challenges;https://www.eea.europa.eu/en/topics/in-depth/sustainability-challenges;Sustainability challenges
Sustainability solutions;https://www.eea.europa.eu/en/topics/in-depth/sustainability-solutions;Sustainability solutions
Sustainable finance;https://www.eea.europa.eu/en/topics/in-depth/sustainable-finance;Sustainable finance
Textiles;https://www.eea.europa.eu/en/topics/in-depth/textiles;Textiles
Transport and mobility;https://www.eea.europa.eu/en/topics/in-depth/transport-and-mobility;Transport and mobility
Urban sustainability;https://www.eea.europa.eu/en/topics/in-depth/urban-sustainability;Urban sustainability
Waste and recycling;https://www.eea.europa.eu/en/topics/in-depth/waste-and-recycling;Waste and recycling
Water;https://www.eea.europa.eu/en/topics/in-depth/water;Water
